elapsed_s,phase,rot_x_100,rot_y_100,lin_x_100,lin_y_100,pen,bias_z_100,num_fields,line_kind,raw
15.977182,0,-0.14,3.59,-46.21,-39.59,0,938.50,6,imu,"-0.14,3.59,-46.21,-39.59,0,938.50"
15.987625,0,0.47,1.63,-41.54,-39.47,0,938.50,6,imu,"0.47,1.63,-41.54,-39.47,0,938.50"
16.000404,0,-0.27,2.73,-52.19,-46.89,0,938.50,6,imu,"-0.27,2.73,-52.19,-46.89,0,938.50"
16.013257,0,0.10,3.34,-43.70,-44.61,0,938.50,6,imu,"0.10,3.34,-43.70,-44.61,0,938.50"
16.023707,0,0.35,2.49,-25.27,-41.03,0,938.50,6,imu,"0.35,2.49,-25.27,-41.03,0,938.50"
16.036730,0,-0.75,0.78,-7.45,-48.80,0,938.50,6,imu,"-0.75,0.78,-7.45,-48.80,0,938.50"
16.047060,0,,,,,,,3,text,"-1.00,1.63,-23."
16.047270,0,,,,,,,4,text,"72,-54.07,0,938.50"
16.060071,0,-0.88,2.12,-38.67,-44.26,0,938.50,6,imu,"-0.88,2.12,-38.67,-44.26,0,938.50"
16.073087,0,-1.61,2.00,-50.40,-47.85,0,938.50,6,imu,"-1.61,2.00,-50.40,-47.85,0,938.50"
16.085608,0,-1.24,0.78,-53.99,-53.59,0,938.50,6,imu,"-1.24,0.78,-53.99,-53.59,0,938.50"
16.096093,0,-0.88,0.90,-57.10,-58.85,0,938.50,6,imu,"-0.88,0.90,-57.10,-58.85,0,938.50"
16.109078,0,-0.63,1.51,-52.07,-64.24,0,938.50,6,imu,"-0.63,1.51,-52.07,-64.24,0,938.50"
16.119553,0,-0.02,2.24,-31.13,-59.57,0,938.50,6,imu,"-0.02,2.24,-31.13,-59.57,0,938.50"
16.132538,0,-0.63,2.61,-16.06,-52.15,0,938.50,6,imu,"-0.63,2.61,-16.06,-52.15,0,938.50"
16.145510,0,-1.49,2.24,-13.55,-52.27,0,938.50,6,imu,"-1.49,2.24,-13.55,-52.27,0,938.50"
16.156002,0,-1.98,2.37,-40.47,-46.41,0,938.50,6,imu,"-1.98,2.37,-40.47,-46.41,0,938.50"
16.169007,0,-1.85,1.76,-48.48,-42.22,0,938.50,6,imu,"-1.85,1.76,-48.48,-42.22,0,938.50"
16.179553,0,-1.61,1.14,-47.05,-45.93,0,938.50,6,imu,"-1.61,1.14,-47.05,-45.93,0,938.50"
16.192413,0,-0.02,-1.42,-43.58,-61.84,0,938.50,6,imu,"-0.02,-1.42,-43.58,-61.84,0,938.50"
16.205253,0,0.47,0.17,-35.44,-67.11,0,938.50,6,imu,"0.47,0.17,-35.44,-67.11,0,938.50"
16.215522,0,0.71,1.27,-14.74,-63.40,0,938.50,6,imu,"0.71,1.27,-14.74,-63.40,0,938.50"
16.228381,0,0.47,-0.32,4.16,-63.16,0,938.50,6,imu,"0.47,-0.32,4.16,-63.16,0,938.50"
16.241254,0,-2.46,5.30,-31.97,-64.95,0,938.50,6,imu,"-2.46,5.30,-31.97,-64.95,0,938.50"
16.251551,0,-1.85,5.66,-50.99,-59.33,0,938.50,6,imu,"-1.85,5.66,-50.99,-59.33,0,938.50"
16.264288,0,-0.14,4.56,-56.62,-52.63,0,938.50,6,imu,"-0.14,4.56,-56.62,-52.63,0,938.50"
16.277306,0,1.32,3.71,-56.86,-52.63,0,938.50,6,imu,"1.32,3.71,-56.86,-52.63,0,938.50"
16.287762,0,1.20,6.03,-47.29,-56.58,0,938.50,6,imu,"1.20,6.03,-47.29,-56.58,0,938.50"
16.300757,0,2.06,6.76,-20.01,-54.43,0,938.50,6,imu,"2.06,6.76,-20.01,-54.43,0,938.50"
16.313542,0,1.93,4.69,9.07,-42.46,0,938.50,6,imu,"1.93,4.69,9.07,-42.46,0,938.50"
16.324016,0,0.83,4.69,-9.12,-41.15,0,938.50,6,imu,"0.83,4.69,-9.12,-41.15,0,938.50"
16.336992,0,0.71,5.42,-32.93,-47.61,0,938.50,6,imu,"0.71,5.42,-32.93,-47.61,0,938.50"
16.347399,0,1.57,5.54,-47.41,-43.06,0,938.50,6,imu,"1.57,5.54,-47.41,-43.06,0,938.50"
16.360010,0,1.44,4.93,-53.15,-40.79,0,938.50,6,imu,"1.44,4.93,-53.15,-40.79,0,938.50"
16.372631,0,1.93,4.56,-46.93,-54.66,0,938.50,6,imu,"1.93,4.56,-46.93,-54.66,0,938.50"
16.385653,0,2.67,4.44,-44.53,-48.92,0,938.50,6,imu,"2.67,4.44,-44.53,-48.92,0,938.50"
